source,title,company,location,url
remotive,Data Analytics Engineer,Patch My PC,USA,https://remotive.com/remote-jobs/data/data-analytics-engineer-2046930
remotive,Data Engineer,Revive Health,USA,https://remotive.com/remote-jobs/software-dev/data-engineer-2042778
remotive,Senior Data Engineer,Virta Health,USA,https://remotive.com/remote-jobs/software-dev/senior-data-engineer-2042377
